mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,boot,Exclusions,hdi_contains_zero
-0.054,0.066,-0.186,0.075,0.001,0.001,2574.0,1830.0,2582.0,1598.0,1.0,159,Across Data,True
-0.088,0.075,-0.238,0.059,0.002,0.001,2385.0,1974.0,2387.0,1743.0,1.0,160,Across Data,True
0.064,0.076,-0.079,0.215,0.002,0.001,2336.0,1466.0,2333.0,1334.0,1.0,161,Across Data,True
0.028,0.071,-0.109,0.168,0.001,0.001,2538.0,1201.0,2537.0,1519.0,1.0,162,Across Data,True
0.134,0.069,-0.003,0.26,0.001,0.001,2642.0,2603.0,2676.0,1562.0,1.0,163,Across Data,True
0.052,0.069,-0.079,0.186,0.001,0.001,2166.0,1772.0,2158.0,1711.0,1.0,164,Across Data,True
0.059,0.063,-0.066,0.178,0.001,0.001,2768.0,1847.0,2764.0,1652.0,1.0,165,Across Data,True
0.038,0.07,-0.093,0.183,0.001,0.001,2231.0,1406.0,2237.0,1637.0,1.0,166,Across Data,True
0.086,0.066,-0.042,0.219,0.001,0.001,2317.0,1897.0,2318.0,1700.0,1.0,167,Across Data,True
-0.046,0.072,-0.189,0.086,0.002,0.001,2169.0,1536.0,2172.0,1646.0,1.0,168,Across Data,True
-0.017,0.065,-0.152,0.101,0.001,0.001,2583.0,1287.0,2587.0,1696.0,1.0,169,Across Data,True
0.071,0.078,-0.081,0.23,0.002,0.001,2302.0,1759.0,2302.0,1693.0,1.0,170,Across Data,True
0.027,0.062,-0.094,0.147,0.001,0.001,2514.0,1185.0,2521.0,1740.0,1.0,171,Across Data,True
-0.063,0.067,-0.186,0.076,0.001,0.001,3070.0,1914.0,3066.0,1808.0,1.0,172,Across Data,True
-0.069,0.062,-0.194,0.046,0.001,0.001,2481.0,2020.0,2462.0,1821.0,1.0,173,Across Data,True
0.129,0.069,-0.008,0.257,0.001,0.001,2601.0,2250.0,2593.0,1803.0,1.0,174,Across Data,True
-0.026,0.064,-0.147,0.103,0.001,0.001,2393.0,1095.0,2410.0,1610.0,1.0,175,Across Data,True
0.038,0.065,-0.081,0.171,0.001,0.001,2897.0,1585.0,2909.0,1794.0,1.0,176,Across Data,True
0.001,0.073,-0.142,0.14,0.002,0.001,2230.0,1230.0,2230.0,1933.0,1.0,177,Across Data,True
-0.041,0.066,-0.161,0.102,0.001,0.001,2754.0,1532.0,2734.0,1459.0,1.0,178,Across Data,True
0.102,0.064,-0.024,0.228,0.001,0.001,2007.0,1988.0,2002.0,1664.0,1.0,179,Across Data,True
0.109,0.069,-0.031,0.236,0.001,0.001,2806.0,2329.0,2804.0,1712.0,1.0,180,Across Data,True
-0.121,0.076,-0.263,0.033,0.002,0.001,2523.0,2039.0,2524.0,1666.0,1.01,181,Across Data,True
0.031,0.068,-0.101,0.163,0.001,0.001,2764.0,1258.0,2755.0,1567.0,1.0,182,Across Data,True
0.056,0.079,-0.102,0.205,0.002,0.001,2457.0,1609.0,2463.0,1623.0,1.0,183,Across Data,True
0.014,0.07,-0.135,0.143,0.001,0.001,2600.0,1151.0,2610.0,1483.0,1.0,184,Across Data,True
0.071,0.072,-0.062,0.219,0.001,0.001,2439.0,1795.0,2428.0,1529.0,1.0,185,Across Data,True
-0.125,0.063,-0.237,0.008,0.001,0.001,2544.0,2249.0,2544.0,1692.0,1.0,186,Across Data,True
